molecule,match
CC[C@@H](C)C1CCCC2CCCCC12,True
CC[C@@H](C)C[C@@](C)(CC)c1ccc2ccccc2c1,False
CC[C@H](C)C1CCCc2ccccc12,False
CC[C@H](CC(C)C)[C@H](CC)CC(C)C,False
CCc1ccccc1,False
CO,True
COC,True
COC(=O)C(C)OCC1CC1,True
COC(=O)C1=CC=CC=C1C(=O)OC,False
COC(=O)CC(=O)OC,True
COC(=O)CCCCC(=O)OC,True
COC(=O)CCCCCCCC(=O)OC,False
COC(=O)CCCCCCCC=C,False
COC(=O)CCCCCCCC=[CH+],False
COC(C)COC(C)CO,True
COC(C)COC(C)COC(C)CO,False
COC(C1=CC=CC=C1)OC,True
COC1=C(C(=CC=C1)OC)O,False
COC1=C(C=CC(=C1)CC=C)O,False
COC1=CC=C(C=C1)C=O,True
COC1=CC=CC=C1O,True
COC1CCCC1,True
COCC(CO)O,True
COCCCCCCOC,True
COCCCOCCCO,False
COCCO,False
COCCOC,True
COCCOCCO,True
COCCOCCOC,True
COCCOCCOCCO,False
COCCOCCOCCOC,True
COCOC,True
COCOCOC,True
COCOCOCOC,True
COCOCOCOCOC,True
COCOCOCOCOCOC,True
COc1ccccc1,True
COc1ccccc1OC,True
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,True
Cc1ccc(C)cc1,True
Cc1cccc(C)c1C,False
Cc1ccco1,True
O(C(=O)CCCCCCCC=CCCCCCCCC)C(C)CC,False
OCc1ccco1,True
c1ccc2c(c1)CCCC2,True
﻿CCCCCCCC/C=C\CCCCCCCCCC(=O)OC,False
